Index,Name,2p0E34,1p9E34
0,L1_SingleMuCosmics,0,0
1,L1_SingleMuCosmics_BMTF,0,0
2,L1_SingleMuCosmics_OMTF,0,0
3,L1_SingleMuCosmics_EMTF,0,0
4,L1_SingleMuOpen,0,0
5,L1_SingleMuOpen_BMTF,0,0
6,L1_SingleMuOpen_OMTF,0,0
7,L1_SingleMuOpen_EMTF,0,0
8,L1_SingleMu0_DQ,0,0
9,L1_SingleMu0_BMTF,2000,0
10,L1_SingleMu0_OMTF,0,0
11,L1_SingleMu0_EMTF,0,0
12,L1_SingleMu0_SQ13_BMTF,0,0
13,L1_SingleMu0_SQ14_BMTF,0,0
14,L1_SingleMu0_SQ15_BMTF,0,0
15,L1_SingleMu0_Upt10,0,0
16,L1_SingleMu0_Upt10_BMTF,0,0
17,L1_SingleMu0_Upt10_OMTF,0,0
18,L1_SingleMu0_Upt10_EMTF,0,0
19,L1_SingleMu3,22000,0
20,L1_SingleMu5,4400,0
21,L1_SingleMu7_DQ,0,0
22,L1_SingleMu7,2200,0
23,L1_SingleMu10_SQ14_BMTF,0,0
24,L1_SingleMu11_SQ14_BMTF,1,1
25,L1_SingleMu12_DQ_BMTF,0,0
26,L1_SingleMu12_DQ_OMTF,0,0
27,L1_SingleMu12_DQ_EMTF,0,0
28,L1_SingleMu15_DQ,325,0
29,L1_SingleMu18,210,0
30,L1_SingleMu20,0,0
31,L1_SingleMu22_OQ,0,0
32,L1_SingleMu22_DQ,0,0
33,L1_SingleMu22,1,1
34,L1_SingleMu22_BMTF,0,0
35,L1_SingleMu22_OMTF,0,0
36,L1_SingleMu22_EMTF,0,0
37,L1_SingleMu22_BMTF_POS,0,0
38,L1_SingleMu22_BMTF_NEG,0,0
39,L1_SingleMu22_OMTF_POS,0,0
40,L1_SingleMu22_OMTF_NEG,0,0
41,L1_SingleMu22_EMTF_POS,0,0
42,L1_SingleMu22_EMTF_NEG,0,0
43,L1_SingleMu25,1,0
45,L1_DoubleMu0_OQ,0,0
46,L1_DoubleMu0,0,0
47,L1_DoubleMu0_SQ,1500,0
48,L1_DoubleMu0_SQ_OS,0,0
49,L1_DoubleMu0_Mass_Min1,0,0
50,L1_DoubleMu8_SQ,1,1
51,L1_DoubleMu9_SQ,1,0
52,L1_DoubleMu_12_5,0,0
53,L1_DoubleMu_15_5_SQ,1,1
54,L1_DoubleMu_15_7,1,0
55,L1_DoubleMu_15_7_SQ,1,0
56,L1_DoubleMu_15_7_Mass_Min1,0,0
57,L1_DoubleMu18er2p1_SQ,1,0
58,L1_DoubleMu0_Upt5_Upt5,0,0
59,L1_DoubleMu0_Upt6_SQ_er2p0,1,1
60,L1_DoubleMu0_Upt7_SQ_er2p0,1,0
61,L1_DoubleMu0_Upt8_SQ_er2p0,1,0
62,L1_DoubleMu6_Upt6_SQ_er2p0,0,0
63,L1_DoubleMu7_Upt7_SQ_er2p0,0,0
64,L1_DoubleMu8_Upt8_SQ_er2p0,0,0
65,L1_DoubleMu0_Upt6_IP_Min1_Upt4,1,1
66,L1_DoubleMu0_Upt15_Upt7,1,0
67,L1_DoubleMu0er2p0_SQ_dEta_Max1p6,190,0
68,L1_DoubleMu0er2p0_SQ_dEta_Max1p5,190,0
69,L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p6,100,0
70,L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5,100,0
71,L1_DoubleMu0er1p5_SQ,0,0
72,L1_DoubleMu0er1p5_SQ_OS,450,0
73,L1_DoubleMu0er1p5_SQ_dR_Max1p4,50,0
74,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4,0,0
75,L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2,0,0
76,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4,1,1
77,L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2,1000,0
78,L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6,0,0
79,L1_DoubleMu0er2p0_SQ_OS_dEta_Max0p3_dPhi_0p8to1p2,1,1
80,L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6,0,0
81,L1_DoubleMu4_SQ_OS,700,0
82,L1_DoubleMu4_SQ_OS_dR_Max1p2,0,0
83,L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6,1,1
84,L1_DoubleMu4p5_SQ_OS,800,0
85,L1_DoubleMu4p5_SQ_OS_dR_Max1p2,1,1
86,L1_DoubleMu4p5er2p0_SQ_OS,80,0
87,L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7,1,1
88,L1_DoubleMu4p5er2p0_SQ_OS_Mass_7to18,1,0
89,L1_DoubleMu5_SQ_OS_dR_Max1p6,0,0
90,L1_TripleMu0_OQ,0,0
91,L1_TripleMu0,0,0
92,L1_TripleMu0_SQ,0,0
93,L1_TripleMu3,0,0
94,L1_TripleMu3_SQ,1,1
95,L1_TripleMu_3SQ_2p5SQ_0,100,0
96,L1_TripleMu_3SQ_2p5SQ_0_Mass_Max12,20,0
97,L1_TripleMu_5SQ_3SQ_0OQ,35,0
98,L1_TripleMu_5_3p5_2p5,35,0
99,L1_TripleMu_5_3_3,1,1
100,L1_TripleMu_5_3_3_SQ,1,0
101,L1_TripleMu_5_5_3,1,0
102,L1_TripleMu_3SQ_2p5SQ_0_OS_Mass_Max12,0,0
103,L1_TripleMu_4SQ_2p5SQ_0_OS_Mass_Max12,1,1
104,L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17,1,1
105,L1_TripleMu_5_4_2p5_DoubleMu_5_2p5_OS_Mass_5to17,1,0
106,L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9,0,0
107,L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9,1,1
108,L1_QuadMu0_OQ,0,0
109,L1_QuadMu0,0,0
110,L1_QuadMu0_SQ,0,0
111,L1_SingleMuShower_Nominal,1,1
112,L1_SingleMuShower_Tight,1,0
113,L1_TwoMuShower_Loose,1,0
114,L1_Mu5_EG23er2p5,0,0
115,L1_Mu7_EG20er2p5,1,1
116,L1_Mu7_EG23er2p5,1,0
117,L1_Mu20_EG10er2p5,1,1
118,L1_Mu5_LooseIsoEG20er2p5,0,0
119,L1_Mu7_LooseIsoEG20er2p5,1,1
120,L1_Mu7_LooseIsoEG23er2p5,1,0
121,L1_Mu6_DoubleEG10er2p5,0,0
122,L1_Mu6_DoubleEG12er2p5,1,1
123,L1_Mu6_DoubleEG15er2p5,1,0
124,L1_Mu6_DoubleEG17er2p5,1,0
125,L1_DoubleMu4_SQ_EG9er2p5,0,0
126,L1_DoubleMu5_SQ_EG9er2p5,1,1
127,L1_DoubleMu3_OS_er2p3_Mass_Max14_DoubleEG7p5_er2p1_Mass_Max20,1,1
128,L1_DoubleMu5_OS_er2p3_Mass_8to14_DoubleEG3er2p1_Mass_Max20,1,1
129,L1_Mu3_Jet30er2p5,11000,0
130,L1_Mu3_Jet16er2p5_dR_Max0p4,400,0
131,L1_DoubleJet16er2p5_Mu3_dR_Max0p4,400,0
132,L1_DoubleJet35er2p5_Mu3_dR_Max0p4,256,0
133,L1_Mu3_Jet60er2p5_dR_Max0p4,52,0
134,L1_DoubleJet60er2p5_Mu3_dR_Max0p4,52,0
135,L1_DoubleJet80er2p5_Mu3_dR_Max0p4,13,0
136,L1_DoubleJet120er2p5_Mu3_dR_Max0p8,3,0
137,L1_Mu3_Jet120er2p5_dR_Max0p4,3,0
138,L1_Mu3er1p5_Jet100er2p5_ETMHF30,0,0
139,L1_Mu3er1p5_Jet100er2p5_ETMHF40,1,1
140,L1_Mu3er1p5_Jet100er2p5_ETMHF50,1,0
141,L1_Mu6_HTT240er,1,1
142,L1_Mu6_HTT250er,1,0
143,L1_Mu12_HTT150er,1,1
144,L1_Mu14_HTT150er,1,0
145,L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6,0,0
146,L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6,1,1
147,L1_DoubleMu0_dR_Max1p6_Jet90er2p5_dR_Max0p8,1,1
148,L1_DoubleMu3_SQ_ETMHF30_HTT60er,0,0
149,L1_DoubleMu3_SQ_ETMHF40_HTT60er,1,1
150,L1_DoubleMu3_SQ_ETMHF50_HTT60er,1,0
151,L1_DoubleMu3_SQ_ETMHF30_Jet60er2p5_OR_DoubleJet40er2p5,0,0
152,L1_DoubleMu3_SQ_ETMHF40_Jet60er2p5_OR_DoubleJet40er2p5,1,1
153,L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5_OR_DoubleJet40er2p5,1,0
154,L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5,1,0
155,L1_DoubleMu3_SQ_ETMHF60_Jet60er2p5,1,0
156,L1_DoubleMu3_SQ_HTT220er,1,1
159,L1_SingleEG8er2p5,44000,0
160,L1_SingleEG10er2p5,9000,0
161,L1_SingleEG15er2p5,1550,0
162,L1_SingleEG26er2p5,780,0
163,L1_SingleEG28_FWD2p5,45,0
164,L1_SingleEG28er2p5,0,0
165,L1_SingleEG28er2p1,0,0
166,L1_SingleEG28er1p5,0,0
167,L1_SingleEG34er2p5,0,0
168,L1_SingleEG36er2p5,1,1
169,L1_SingleEG38er2p5,1,0
170,L1_SingleEG40er2p5,1,0
171,L1_SingleEG42er2p5,1,0
172,L1_SingleEG45er2p5,1,0
173,L1_SingleEG50,0,0
174,L1_SingleEG60,1,0
175,L1_SingleLooseIsoEG26er2p5,0,0
176,L1_SingleLooseIsoEG26er1p5,0,0
177,L1_SingleLooseIsoEG28_FWD2p5,0,0
178,L1_SingleLooseIsoEG28er2p5,0,0
179,L1_SingleLooseIsoEG28er2p1,0,0
180,L1_SingleLooseIsoEG28er1p5,0,0
181,L1_SingleLooseIsoEG30er2p5,0,0
182,L1_SingleLooseIsoEG30er1p5,0,0
183,L1_SingleIsoEG24er2p1,0,0
185,L1_SingleIsoEG26er2p5,0,0
186,L1_SingleIsoEG26er2p1,0,0
188,L1_SingleIsoEG28_FWD2p5,0,0
189,L1_SingleIsoEG28er2p5,0,0
190,L1_SingleIsoEG28er2p1,0,0
191,L1_SingleIsoEG28er1p5,25,0
192,L1_SingleIsoEG30er2p5,1,1
193,L1_SingleIsoEG30er2p1,1,0
194,L1_SingleIsoEG32er2p5,1,0
195,L1_SingleIsoEG32er2p1,1,0
196,L1_SingleIsoEG34er2p5,1,0
197,L1_IsoEG32er2p5_Mt40,0,0
198,L1_SingleMu0_Upt10_SQ14_BMTF,0,0
199,L1_SingleMu0_Upt15_SQ14_BMTF,1,1
200,L1_SingleMu0_Upt20_SQ14_BMTF,1,0
201,L1_SingleMu0_Upt25_SQ14_BMTF,0,0
202,L1_SingleMu5_SQ14_BMTF,0,0
203,L1_SingleMu6_SQ14_BMTF,0,0
204,L1_SingleMu7_SQ14_BMTF,0,0
205,L1_SingleMu8_SQ14_BMTF,0,0
206,L1_SingleMu9_SQ14_BMTF,0,0
214,L1_DoubleEG11_er1p2_dR_Max0p6,1,1
215,L1_DoubleEG_15_10_er2p5,0,0
216,L1_DoubleEG_20_10_er2p5,0,0
217,L1_DoubleEG_22_10_er2p5,0,0
218,L1_DoubleEG_25_12_er2p5,1,1
219,L1_DoubleEG_25_14_er2p5,1,0
220,L1_DoubleEG_27_14_er2p5,1,0
223,L1_DoubleEG_LooseIso22_12_er2p5,1,1
224,L1_DoubleEG_LooseIso25_12_er2p5,1,0
225,L1_DoubleEG_LooseIso16_LooseIso12_er1p5,0,0
226,L1_DoubleEG_LooseIso18_LooseIso12_er1p5,1,1
227,L1_DoubleEG_LooseIso20_LooseIso12_er1p5,1,0
228,L1_DoubleEG_LooseIso22_LooseIso12_er1p5,1,0
229,L1_DoubleEG_LooseIso25_LooseIso12_er1p5,1,0
230,L1_DoubleLooseIsoEG22er2p1,1,1
231,L1_DoubleLooseIsoEG24er2p1,1,0
234,L1_TripleEG_18_17_8_er2p5,1,1
235,L1_TripleEG_18_18_12_er2p5,1,0
238,L1_LooseIsoEG26er2p1_Jet34er2p5_dR_Min0p3,0,0
239,L1_LooseIsoEG28er2p1_Jet34er2p5_dR_Min0p3,0,0
240,L1_LooseIsoEG30er2p1_Jet34er2p5_dR_Min0p3,0,0
241,L1_LooseIsoEG14er2p5_HTT200er,1,1
242,L1_LooseIsoEG16er2p5_HTT200er,1,0
243,L1_LooseIsoEG24er2p1_HTT100er,0,0
244,L1_LooseIsoEG26er2p1_HTT100er,0,0
245,L1_LooseIsoEG28er2p1_HTT100er,0,0
248,L1_DoubleEG8er2p5_HTT280er,0,0
249,L1_DoubleEG8er2p5_HTT300er,1,1
250,L1_DoubleEG8er2p5_HTT320er,1,0
257,L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3,1,1
258,L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3,1,0
259,L1_LooseIsoEG22er2p1_Tau70er2p1_dR_Min0p3,1,0
263,L1_SingleTau120er2p1,1,1
264,L1_SingleTau130er2p1,1,0
266,L1_DoubleTau70er2p1,1,1
267,L1_DoubleIsoTau28er2p1,0,0
268,L1_DoubleIsoTau30er2p1,0,0
269,L1_DoubleIsoTau32er2p1,0,0
270,L1_DoubleIsoTau34er2p1,1,1
271,L1_DoubleIsoTau35er2p1,1,0
272,L1_DoubleIsoTau36er2p1,1,0
278,L1_DoubleIsoTau32er2p1_Mass_Max80,0,0
279,L1_Mu18er2p1_Tau24er2p1,1,1
280,L1_Mu18er2p1_Tau26er2p1,1,0
281,L1_Mu18er2p1_Tau26er2p1_Jet55,1,0
282,L1_Mu18er2p1_Tau26er2p1_Jet70,1,0
283,L1_DoubleIsoTau26er2p1_Jet55_RmOvlp_dR0p5,1,1
284,L1_DoubleIsoTau26er2p1_Jet70_RmOvlp_dR0p5,1,0
286,L1_Mu22er2p1_IsoTau30er2p1,0,0
287,L1_Mu22er2p1_IsoTau32er2p1,1,1
288,L1_Mu22er2p1_IsoTau34er2p1,1,0
290,L1_Mu22er2p1_IsoTau40er2p1,1,0
291,L1_Mu22er2p1_Tau70er2p1,1,0
298,L1_IsoTau52er2p1_QuadJet36er2p5,190,0
305,L1_SingleJet35,64000,0
306,L1_SingleJet60,17000,0
307,L1_SingleJet90,1500,0
308,L1_SingleJet120,350,0
309,L1_SingleJet180,1,1
310,L1_SingleJet200,1,0
311,L1_SingleJet35er1p3,0,0
312,L1_SingleJet35er2p5,0,0
314,L1_SingleJet120er1p3,0,0
315,L1_SingleJet120er2p5,0,0
316,L1_SingleJet140er2p5,0,0
317,L1_SingleJet160er2p5,0,0
318,L1_SingleJet180er2p5,1,0
320,L1_SingleJet35_FWD2p5,28327,0
321,L1_SingleJet60_FWD2p5,1820,0
322,L1_SingleJet90_FWD2p5,264,0
323,L1_SingleJet120_FWD2p5,45,0
324,L1_SingleJet35_FWD3p0,0,0
327,L1_SingleJet120_FWD3p0,0,0
328,L1_SingleJet8erHE,0,0
329,L1_SingleJet10erHE,0,0
330,L1_SingleJet12erHE,0,0
334,L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1,0,0
335,L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6,0,0
336,L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1,1,0
337,L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6,1,0
340,L1_DoubleJet40er2p5,8400,0
341,L1_DoubleJet100er2p5,170,0
342,L1_DoubleJet120er2p5,70,0
343,L1_DoubleJet150er2p5,1,1
345,L1_DoubleJet100er2p3_dEta_Max1p6,0,0
346,L1_DoubleJet112er2p3_dEta_Max1p6,1,1
347,L1_DoubleJet30er2p5_Mass_Min225_dEta_Max1p5,0,0
348,L1_DoubleJet30er2p5_Mass_Min250_dEta_Max1p5,1,1
349,L1_DoubleJet30er2p5_Mass_Min300_dEta_Max1p5,1,0
350,L1_DoubleJet30er2p5_Mass_Min330_dEta_Max1p5,1,0
357,L1_DoubleJet_110_35_DoubleJet35_Mass_Min800,1,1
358,L1_DoubleJet_110_35_DoubleJet35_Mass_Min850,1,0
362,L1_DoubleJet45_Mass_Min550_IsoTau45er2p1_RmOvlp_dR0p5,1,1
363,L1_DoubleJet45_Mass_Min600_IsoTau45er2p1_RmOvlp_dR0p5,1,0
364,L1_DoubleJet_65_35_DoubleJet35_Mass_Min600_DoubleJetCentral50,1,1
365,L1_DoubleJet_65_35_DoubleJet35_Mass_Min650_DoubleJetCentral50,1,0
366,L1_DoubleJet45_Mass_Min550_LooseIsoEG20er2p1_RmOvlp_dR0p2,1,1
367,L1_DoubleJet45_Mass_Min600_LooseIsoEG20er2p1_RmOvlp_dR0p2,1,0
368,L1_DoubleJet_85_35_DoubleJet35_Mass_Min600_Mu3OQ,1,1
369,L1_DoubleJet_85_35_DoubleJet35_Mass_Min650_Mu3OQ,1,0
370,L1_DoubleJet_70_35_DoubleJet35_Mass_Min500_ETMHF65,1,1
371,L1_DoubleJet_70_35_DoubleJet35_Mass_Min550_ETMHF65,1,0
383,L1_TripleJet_95_75_65_DoubleJet_75_65_er2p5,1,1
384,L1_TripleJet_100_80_70_DoubleJet_80_70_er2p5,1,0
385,L1_TripleJet_105_85_75_DoubleJet_85_75_er2p5,1,0
386,L1_QuadJet_95_75_65_20_DoubleJet_75_65_er2p5_Jet20_FWD3p0,1,0
389,L1_QuadJet60er2p5,0,0
390,L1_DoubleLLPJet40,1,0
391,L1_HTT120_SingleLLPJet40,100,0
392,L1_HTT160_SingleLLPJet50,50,0
393,L1_HTT200_SingleLLPJet60,1,1
394,L1_HTT240_SingleLLPJet70,1,0
395,L1_HTT280er_QuadJet_70_55_40_35_er2p5,1,0
396,L1_HTT320er_QuadJet_70_55_40_40_er2p5,1,0
397,L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3,1,0
398,L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3,1,0
402,L1_HTT120er,11400,0
403,L1_HTT160er,4100,0
404,L1_HTT200er,1600,0
405,L1_HTT255er,500,0
406,L1_HTT280er,1,1
407,L1_HTT320er,1,0
408,L1_HTT360er,1,0
409,L1_HTT400er,1,0
410,L1_HTT450er,1,0
412,L1_ETT2000,1,1
416,L1_ETM120,0,0
417,L1_ETM150,1,1
418,L1_ETMHF70,0,0
419,L1_ETMHF80,0,0
420,L1_ETMHF90,1,1
421,L1_ETMHF100,1,0
422,L1_ETMHF110,1,0
423,L1_ETMHF120,1,0
424,L1_ETMHF130,1,0
425,L1_ETMHF140,1,0
426,L1_ETMHF150,1,0
427,L1_ETMHF70_HTT60er,0,0
428,L1_ETMHF80_HTT60er,0,0
429,L1_ETMHF90_HTT60er,1,0
430,L1_ETMHF100_HTT60er,1,0
431,L1_ETMHF110_HTT60er,1,0
432,L1_ETMHF120_HTT60er,1,0
433,L1_ETMHF130_HTT60er,1,0
434,L1_HTMHF100,0,0
435,L1_HTMHF120,0,0
436,L1_HTMHF125,0,0
437,L1_HTMHF130,0,0
438,L1_HTMHF150,0,0
439,L1_AXO_VLoose,0,0
440,L1_AXO_Loose,0,0
441,L1_AXO_Nominal,1,1
442,L1_AXO_Tight,0,0
443,L1_AXO_VTight,0,0
445,L1_CICADA_VLoose,0,0
446,L1_CICADA_Loose,0,0
447,L1_CICADA_Medium,0,0
448,L1_CICADA_Tight,0,0
449,L1_CICADA_VTight,0,0
451,L1_SingleMuOpen_NotBptxOR,0,0
452,L1_SingleMuOpen_er1p4_NotBptxOR_3BX,0,0
453,L1_SingleMuOpen_er1p1_NotBptxOR_3BX,0,0
454,L1_SingleJet20er2p5_NotBptxOR,0,0
455,L1_SingleJet20er2p5_NotBptxOR_3BX,0,0
456,L1_SingleJet43er2p5_NotBptxOR_3BX,0,0
457,L1_SingleJet46er2p5_NotBptxOR_3BX,0,0
458,L1_AlwaysTrue,0,0
459,L1_ZeroBias,0,0
460,L1_ZeroBias_copy,0,0
461,L1_MinimumBiasHF0_AND_BptxAND,0,0
462,L1_MinimumBiasHF0,0,0
463,L1_NotBptxOR,0,0
464,L1_BptxOR,0,0
465,L1_BptxXOR,0,0
466,L1_BptxPlus,0,0
467,L1_BptxMinus,0,0
468,L1_UnpairedBunchBptxPlus,0,0
469,L1_UnpairedBunchBptxMinus,0,0
471,L1_IsolatedBunch,2239,0
472,L1_FirstBunchBeforeTrain,0,0
473,L1_FirstBunchInTrain,0,0
474,L1_SecondBunchInTrain,0,0
475,L1_SecondLastBunchInTrain,0,0
476,L1_LastBunchInTrain,0,0
477,L1_FirstBunchAfterTrain,56237,0
478,L1_LastCollisionInTrain,56237,0
479,L1_FirstCollisionInTrain,59051,0
480,L1_FirstCollisionInOrbit,563,0
482,L1_BPTX_NotOR_VME,0,0
483,L1_BPTX_OR_Ref3_VME,0,0
484,L1_BPTX_OR_Ref4_VME,0,0
485,L1_BPTX_RefAND_VME,0,0
486,L1_BPTX_AND_Ref1_VME,0,0
487,L1_BPTX_AND_Ref3_VME,0,0
488,L1_BPTX_AND_Ref4_VME,0,0
489,L1_BPTX_BeamGas_Ref1_VME,0,0
490,L1_BPTX_BeamGas_Ref2_VME,0,0
491,L1_BPTX_BeamGas_B1_VME,0,0
492,L1_BPTX_BeamGas_B2_VME,0,0
494,L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142,3,0
500,L1_HCAL_LaserMon_Trig,0,0
501,L1_HCAL_LaserMon_Veto,0,0
503,L1_TOTEM_1,0,0
504,L1_TOTEM_2,0,0
505,L1_TOTEM_3,0,0
506,L1_TOTEM_4,0,0
